CÓDIGOALUNO;ESCOLA;TURMA;TURNO;SEXO;IDADE;TIPOESCOLA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;ERROS;SEXO2;TURNO2;TURMA2;ERROS E.A.U.F.P.A;ERROS E.E.E.F. RUTH PASSARINHO ;ERROS E.M.E.F. ALZIRA PERNAMBUCO
1) AAF3MA;E.A.U.F.P.A;A;1º;M;10;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;10;2;1;1;;;
2) ABV3FA;E.A.U.F.P.A;A;1º;F;10;1;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;1;11;1;1;1;;;
3) ALM3FA;E.A.U.F.P.A;A;1º;F;11;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;5;1;1;1;;;
4) ALF3FA;E.A.U.F.P.A;A;1º;F;10;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;6;1;1;1;;;
5) BKS3FA;E.A.U.F.P.A;A;1º;F;11;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;1;0;1;1;0;1;0;1;11;1;1;1;;;
6) CMF3MA;E.A.U.F.P.A;A;1º;M;11;1;0;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;12;2;1;1;;;
7) CMR3FA;E.A.U.F.P.A;A;1º;F;10;1;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;10;1;1;1;;;
8) DIC3MA;E.A.U.F.P.A;A;1º;M;11;1;0;0;1;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;8;2;1;1;;;
9) ENS3MA;E.A.U.F.P.A;A;1º;M;10;1;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;1;0;1;13;2;1;1;;;
10) FVJ3MA;E.A.U.F.P.A;A;1º;M;11;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;1;0;0;8;2;1;1;;;
11) GMS3FA;E.A.U.F.P.A;A;1º;F;10;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;0;13;1;1;1;;;
