ERROS_FEDERAL;ERROS_ESTADUAL;ERROS_MUNICIPAL;
10;10;10;
11;8;11;
5;12;15;
6;;14;
11;10;9;
12;19;4;
10;21;9;
8;9;3;
13;16;10;
8;24;10;
13;20;11;
8;22;10;
8;;14;
5;18;14;
7;9;13;
5;;23;
9;15;19;
9;13;7;
12;18;9;
11;15;12;
8;10;7;
9;17;11;
10;12;16;
5;18;9;
10;16;8;
9;19;10;
10;18;8;
7;;11;
15;17;8;
10;21;12;
11;12;12;
14;12;9;
12;21;14;
14;18;14;
14;;3;
15;;10;
12;;18;
9;;10;
8;;14;
11;;10;
12;;16;
10;;14;
7;;17;
8;;13;
15;;6;
11;;10;
8;;9;
10;;8;
11;;;
;;;
9,918367347;16;11,125;12,236678
;;;
7,243197279;19,74712644;15,64361702;
